Roi Name,X,Y,Z
0,56,68,55
1,82,75,81
2,29,74,82
3,69,102,76
4,42,100,77
5,68,111,39
6,44,112,38
7,78,101,71
8,31,101,70
9,77,113,41
10,34,114,40
11,89,88,60
12,23,89,61
13,87,99,57
14,23,99,57
15,81,100,40
16,28,101,40
17,88,73,57
18,22,74,57
19,60,83,88
20,50,79,89
21,61,90,40
22,49,90,40
23,60,112,68
24,50,113,67
25,60,115,42
26,51,114,43
27,60,104,35
28,51,102,36
29,80,84,50
30,30,83,49
31,59,103,56
32,51,104,58
33,60,70,75
34,51,73,74
35,60,51,64
36,51,52,62
37,73,66,40
38,37,66,40
39,71,68,34
40,39,70,33
41,72,79,36
42,38,79,36
43,61,27,51
44,46,30,53
45,60,26,65
46,47,27,66
47,66,35,44
48,46,35,45
49,67,23,66
50,40,25,68
51,78,26,58
52,31,27,60
53,81,28,42
54,31,25,42
55,77,53,34
56,34,54,34
57,85,65,79
58,29,62,82
59,72,40,87
60,39,40,89
61,85,49,78
62,26,48,80
63,94,57,67
64,18,58,71
65,86,39,71
66,26,39,73
67,61,42,79
68,50,42,76
69,61,63,94
70,51,58,92
71,64,86,53
72,46,87,54
73,72,82,49
74,38,83,49
75,68,79,47
76,42,79,47
77,63,68,53
78,48,68,53
79,84,67,54
80,26,67,54
81,92,65,52
82,18,65,52
83,83,89,34
84,24,89,36
85,93,57,46
86,18,55,46
87,81,89,25
88,27,89,26
89,90,61,32
90,21,59,33
91,80,35,28
92,31,35,28
93,74,30,22
94,35,33,21
95,61,54,35
96,47,57,35
97,66,50,36
98,44,51,35
99,72,40,33
100,39,41,31
101,77,39,17
102,33,37,15
103,73,43,16
104,39,42,14
105,63,47,17
106,49,47,16
107,71,57,20
108,38,57,20
109,55,54,34
110,55,53,40
111,55,45,43
112,55,34,37
113,55,31,31
114,55,37,25
115,55,43,24
116,55,49,26
